Counter,Location,Block,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_06,Use_growth_06,foliar_N_mg_g_06,Aboveground_mass_g_dry_06,AGB_est_kg_04,AGB_est_kg_06,Ndfa_u_04,Ndfa_u_06,AGB_g_N_04,AGB_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_06
1,HI,1,ACKO,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HI,2,ACKO,HN,6/20/18,1,24.88825524,7/18/19,1,31.01060218,4230.310956,0.595114709,4.090148919,42.08946814,69.13005528,7.902570468,53.88203792,3.326149879,37.2486826,1.108716626,9.312170649,31.78563126,1.863030118,2.276731443,7.771265031,0.140298227,0.172825138,0.589911453
3,HI,3,ACKO,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HI,4,ACKO,HN,6/20/18,1,12.2864148,7/18/19,1,16.94241134,13051.92871,9.548427189,11.57575903,68.86763008,78.24828385,90.9888062,118.0688674,62.66183446,92.38686251,20.88727815,23.09671563,21.18968316,2.187509811,1.995265759,1.830522138,0.229558767,0.19562071,0.179468844
5,HI,5,ACKO,HN,6/20/18,1,20.88728712,7/18/19,1,22.32134061,6448.67272,2.932580477,8.529825551,61.08400722,73.17294173,36.44417681,104.781246,22.26156359,76.67152006,7.420521198,19.16788001,50.0042438,2.53037257,2.247159675,5.862282118,0.203613357,0.182932354,0.477225131
6,HI,6,ACKO,HN,6/20/18,1,23.18583483,7/18/19,1,27.7443019,12893.27494,2.808931533,13.91713114,73.06275657,73.67075665,35.41187749,180.192393,25.87289385,132.7490993,8.62429795,33.18727483,106.6609012,3.070312625,2.384634771,7.664000588,0.243542522,0.184176892,0.59192788
7,HI,7,ACKO,HN,6/20/18,0,46.29500164,7/18/19,0,NA,NA,0.021329777,NA,-96.61251031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,HI,8,ACKO,HN,6/20/18,0,NA,7/18/19,0,20.08354449,22.1,0.00040246,0.01151011,NA,37.34044689,NA,0.241657012,NA,0.090235808,NA,0.022558952,NA,NA,1.959924973,NA,NA,0.093351117,NA
9,HI,1,ACKO,LN,6/20/18,1,NA,7/18/19,1,14.35218407,1871.110303,0.758008759,1.467905195,NA,96.18454522,NA,12.9061061,NA,12.41367946,NA,3.103419864,NA,NA,2.114182765,NA,NA,0.240461363,NA
10,HI,2,ACKO,LN,6/20/18,1,18.97464371,7/18/19,1,21.43393742,2857.6354,0.772175993,1.823702545,81.90498235,92.47467438,8.653057341,19.91862632,7.087285088,18.41968483,2.362428363,4.604921208,10.41779823,3.059442904,2.525039635,5.712443765,0.273016608,0.231186686,0.523017906
