Counter,Location,Block,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_06,Use_growth_06,foliar_N_mg_g_06,Aboveground_mass_g_dry_06,AGB_est_kg_04,AGB_est_kg_06,Ndfa_u_04,Ndfa_u_06,AGB_g_N_04,AGB_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_06
1,HI,1,CAEQ,HN,6/22/18,1,19.04621414,7/16/19,1,16.15683251,1069.288888,0.179463145,0.624219195,37.94336341,22.83293665,2.623584605,6.139457671,0.995476241,1.401818481,0.331825414,0.35045462,0.80277707,1.848989182,0.561428779,1.286049958,0.126477878,0.057082342,0.130757001
2,HI,2,CAEQ,HN,6/22/18,1,20.71121172,7/16/19,1,18.20646686,755.6741,0.134401562,0.776348028,65.38446024,64.40792124,2.582795442,9.194789908,1.688746859,5.922173043,0.56291562,1.480543261,4.258648189,4.188311588,1.907061276,5.485488512,0.217948201,0.161019803,0.463158836
3,HI,3,CAEQ,HN,6/22/18,1,18.4569489,7/16/19,1,20.59731488,23035.0564,5.63831478,15.57481436,78.12622886,82.3348936,45.33307449,141.6383723,35.41702153,116.6178031,11.80567384,29.15445079,79.2928645,2.093830214,1.871897161,5.09109532,0.260420763,0.205837234,0.559826149
4,HI,4,CAEQ,HN,6/22/18,1,24.04261921,7/16/19,1,19.54759015,6621.3526,2.945564368,11.61924031,77.43001592,70.47084708,26.57022285,105.2732874,20.57332778,74.18697742,6.857775927,18.54674435,55.4627163,2.328170452,1.596209723,4.77335134,0.258100053,0.176177118,0.526845106
5,HI,5,CAEQ,HN,6/22/18,1,18.65517161,7/16/19,1,16.6983476,9007.908795,4.924522123,10.93703836,74.09001723,79.27761637,39.48398102,84.92333604,29.25368834,67.32519656,9.751229448,16.83129914,36.02323755,1.9801372,1.538926589,3.293692165,0.246966724,0.198194041,0.42418538
6,HI,6,CAEQ,HN,6/22/18,1,14.24793877,7/16/19,1,11.28538171,3861.2475,3.484526105,4.559259204,55.07811796,66.40083342,24.11643679,27.99420398,13.2828795,18.58838475,4.427626501,4.647096188,2.574869732,1.270653847,1.019265626,0.564756162,0.183593727,0.166002084,0.091978673
7,HI,7,CAEQ,HN,6/22/18,1,16.68679646,7/16/19,1,13.15503863,9803.5794,1.635405557,6.983924372,59.0193121,75.5398789,13.14310136,54.1742473,7.756968011,40.92316081,2.585656004,10.2307902,30.99487796,1.581048806,1.46490564,4.438031729,0.19673104,0.188849697,0.572133061
8,HI,8,CAEQ,HN,6/22/18,1,19.04903405,7/16/19,1,17.6656787,17196.17498,6.512341581,14.82298289,77.90311403,86.55390788,60.12605648,146.9989286,46.84007034,127.2333172,15.61335678,31.80832931,75.19186569,2.397502739,2.145879108,5.072654151,0.259677047,0.21638477,0.511513019
9,HI,9,CAEQ,HN,6/22/18,1,16.97370369,7/16/19,1,22.66605042,NA,3.651394486,8.60031422,NA,NA,27.32966598,77.94638505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,HI,1,CAEQ,LN,6/22/18,1,21.87746987,7/16/19,1,19.45652406,12164.0304,1.990859348,10.9760778,64.46646069,91.66175218,17.70318291,89.31674323,11.41261545,81.86929183,3.804205151,20.46732296,65.64224419,1.910835717,1.864721017,5.980482772,0.214888202,0.22915438,0.734937726
