Counter,Location,Experiment,Site,Block,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,Date_03_5,Days_03_5,foliar_N_mg_g_03_5,foliar_C_mg_g_03_5,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,disk_d15N_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,Diam_mm_06,Height_cm_06,DBH_06,Canopy_length_cm_06,Canopy_width_cm_06,Ground_cover_percent_06,Notes_06,Dead_06,Use_growth_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Aboveground_harvest_date_06,Harvest_notes_06,Main_stem_g_dry_06,Twigs_g_dry_06,Leaves_g_dry_06,Secondary_stems_g_dry_06,Fruit_g_dry_06,Dead_g_dry_06,Aboveground_mass_g_dry_06,Aboveground_mass_g_wet_06,Root_g_dry_06,Use_allometry_06,Allometry_use_notes_06,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06
1,HI,FX,Waiakea,1,137,139,CAEQ,HN,19.644323,-155.083672,1/17/16,0,1.3,22,NA,NA,NA,NA,,0,1,7/11/16,176,3.7,36.83,NA,NA,NA,NA,,0,1,6/25/17,525,12,62,NA,59,63,100,,0,1,1/1/18,NA,14.5,504,6/22/18,887,19,95,NA,117,117,NA,,0,1,19.04621414,508.3406778,1.39034,2835,-28.93,NA,1/14/19,1093,26,115,NA,144,145,NA,,0,1,7/16/19,1276,31.3,142,NA,207,206,NA,,0,1,16.15683251,484.9524799,0.99204,1725.37,-29.32,7/16/19,Average wet:dry ratio for CAEQ used for secondary dry weight; subsample that was noted in the harvest sheet added into total,191.2,321.9,482.4,73.8,NA,NA,1069.288888,2139,302.1,1,,0.000699049,0.005512037,0.050024205,0.179463145,0.339572696,0.624219195
2,HI,FX,Waiakea,2,149,151,CAEQ,HN,19.644323,-155.083672,5/28/16,0,2.5,40.64,NA,NA,NA,NA,,0,1,7/11/16,44,2.8,43.18,NA,NA,NA,NA,,0,1,6/25/17,393,10,82,NA,64,58,100,most leaves turning orange looks sad,0.5,1,1/1/18,NA,18,492.1,6/22/18,755,17,85,NA,86,124,NA,"height growth stalls, but diameter and canopy area fine",0,1,20.71121172,496.9392432,1.39605,2851,-29.41,NA,1/14/19,961,21,145,NA,205,192,NA,,0,1,7/16/19,1144,31.75,146,NA,285,245,NA,,0,1,18.20646686,479.5900737,0.95815,1631.36,-28.52,7/16/19,Aboveground wet weight 1.56kg,NA,NA,NA,NA,NA,NA,755.6741,1560,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.00320236,0.004020564,0.047569486,0.134401562,0.384237117,0.776348028
3,HI,FX,Waiakea,3,161,163,CAEQ,HN,19.644323,-155.083672,1/17/16,0,2.6,34,NA,NA,NA,NA,,0,1,7/11/16,176,18.2,187.96,NA,NA,NA,NA,,0,1,6/25/17,525,62,320,NA,157,121,80,,0,1,1/1/18,NA,21.3,495.8,6/22/18,887,97,500,NA,246,251,NA,,0,1,18.4569489,492.5852212,0.70005,917.6,-29.34,NA,1/14/19,1093,104.3120319,535,NA,405,373,NA,,0,1,7/16/19,1276,143.7,610,NA,465,428,NA,,0,1,20.59731488,483.4951937,0.59085,616.66,-29.05,7/16/19,Aboveground wet weight 45.44 kg,NA,NA,NA,NA,NA,NA,23035.0564,45440,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.002958625,0.249983098,1.65131718,5.63831478,8.936623574,15.57481436
4,HI,FX,Waiakea,4,173,175,CAEQ,HN,19.644323,-155.083672,5/28/16,0,3.4,74.93,NA,NA,NA,NA,,0,1,7/11/16,44,5.7,86.36,NA,NA,NA,NA,,0,1,6/25/17,393,26.5,198,NA,55,69,85,,0,1,1/1/18,NA,30.4,483.3,6/22/18,755,71,460,NA,155,213,NA,,0,1,24.04261921,492.9626327,0.84844,1327.5,-30.17,NA,1/14/19,961,78.46018098,515,NA,370,385,NA,,0,1,7/16/19,1144,112.3,550,NA,505,458,NA,,0,1,19.54759015,470.1577378,0.76893,1107.69,-30.37,7/16/19,Aboveground wet weight 13.28 kg,NA,NA,NA,NA,NA,NA,6621.3526,13280,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.00846144,0.021465038,0.251673837,2.945564368,6.124225068,11.61924031
5,HI,FX,Waiakea,5,185,187,CAEQ,HN,19.644323,-155.083672,5/28/16,0,3.6,83.82,NA,NA,NA,NA,,0,1,7/11/16,44,6.7,95.25,NA,NA,NA,NA,,0,1,6/25/17,393,38.5,299,NA,98,78,95,,0,1,1/1/18,NA,24.1,498.4,6/22/18,755,83,490,NA,259,279,NA,,0,1,18.65517161,501.7525857,0.97242,1670.9,-30.62,NA,1/14/19,961,86.856203,530,NA,395,385,NA,,0,1,7/16/19,1144,114.45,620,NA,478,322,NA,,0,1,16.6983476,488.6996124,0.55603,520.85,-30.24,7/16/19,Average wet:dry ratio for CAEQ used for secondary dry weight; subsample that was noted in the harvest sheet added into total,4124,1133.4,1779.7,1970.8,NA,NA,9007.908795,19363,NA,1,,0.010123511,0.029966368,0.645361414,4.924522123,7.189883436,10.93703836
6,HI,FX,Waiakea,6,197,199,CAEQ,HN,19.644323,-155.083672,1/17/16,0,1.9,38,NA,NA,NA,NA,,0,1,7/11/16,176,8.6,112.395,NA,NA,NA,NA,,0,1,6/25/17,525,39,310,NA,114,86,90,,0,1,1/1/18,NA,22.6,475.3,6/22/18,887,65,485,NA,328,191,NA,,0,1,14.24793877,482.6335276,1.11358,2063,-29.58,NA,1/14/19,1093,61,480,NA,285,260,NA,Diameter and height both decrease,0,0,7/16/19,1276,77.65,500,NA,270,260,NA,,0,1,11.28538171,463.9283203,0.74042,1028.96,-30.26,7/16/19,Aboveground wet weight 7.8 kg,NA,NA,NA,NA,NA,NA,3861.2475,7800,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.001965939,0.050735795,0.734725797,3.484526105,3.424291435,4.559259204
7,HI,FX,Waiakea,7,209,211,CAEQ,HN,19.644323,-155.083672,5/28/16,0,2.4,35.56,NA,NA,NA,NA,,0,1,7/11/16,44,2.7,45.72,NA,NA,NA,NA,,0,1,6/25/17,393,17.5,137,NA,83,77,60,,0,1,1/1/18,NA,NA,NA,6/22/18,755,43,380,NA,224,198,NA,,0,1,16.68679646,495.165448,1.42052,2919.5,-31.37,NA,1/14/19,961,53.44155686,542,NA,298,315,NA,,0,1,7/16/19,1144,67.7,650,NA,479,465,NA,,0,1,13.15503863,485.6031829,0.79694,1185.08,-30.72,7/16/19,Aboveground wet weight 19.56 kg,NA,NA,NA,NA,NA,NA,9803.5794,19560,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.002700574,0.003971266,0.151733497,1.635405557,3.441381984,6.983924372
8,HI,FX,Waiakea,8,221,223,CAEQ,HN,19.644323,-155.083672,1/17/16,0,2,35,NA,NA,NA,NA,,0,1,7/11/16,176,9.5,116.84,NA,NA,NA,NA,,0,1,6/25/17,525,52.5,320,NA,271,215,80,,0,1,1/1/18,NA,20.6,492.3,6/22/18,887,93,470,NA,330,345,NA,,0,1,19.04903405,504.5272321,0.86053,1361,-28.41,NA,1/14/19,1093,98.57991682,485,NA,470,368,NA,Diameter and height plateau but don't decrease,0,1,7/16/19,1276,152.15,480,NA,551,385,NA,,0,1,17.6656787,490.4272827,0.53722,469.13,-28.58,7/16/19,,7770.7,2268.6,5367.1,1618.9,NA,171,17196.17498,34916,NA,1,,0.001997879,0.061252866,2.069814301,6.512341581,8.308761208,14.82298289
9,HI,FX,Waiakea,9,233,235,CAEQ,HN,19.644323,-155.083672,1/17/16,0,2.7,36,NA,NA,NA,NA,,0,1,7/11/16,176,5.6,86.36,NA,NA,NA,NA,,0,1,6/25/17,525,34.5,292,NA,98,99,95,,0,1,1/1/18,NA,18,484.9,6/22/18,887,79,480,NA,218,180,NA,,0,1,16.97370369,490.293766,0.37007,10.3,-31.05,NA,1/14/19,1093,80.42387705,600,NA,345,340,NA,,0,1,7/16/19,1276,99.35,620,NA,380,332,NA,,0,1,22.66605042,479.9477025,0.36906,7.54,-31.76,7/16/19,Not harvested; No 15N; used for chainsaw practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.003286352,0.020871582,0.612133096,3.651394486,6.409266486,8.60031422
10,HI,FX,Waiakea,1,131,133,CAEQ,LN,19.644323,-155.083672,5/28/16,0,4.5,86.995,NA,NA,NA,NA, ,0,1,7/11/16,44,5.8,99.06,NA,NA,NA,NA,,0,1,6/25/17,393,26,252,NA,67,41,90,,0,1,1/1/18,NA,24.2,494.1,6/22/18,755,60,400,NA,150,163,NA,,0,1,21.87746987,494.9176105,0.50546,381.8,-30.5,NA,1/14/19,961,82,580,NA,260,260,NA,,0,1,7/16/19,1144,120.1,720,NA,306,346,NA,,0,1,19.45652406,480.7042887,0.39175,69.75,-29.83,7/16/19,Aboveground wet weight 24.2 kg,NA,NA,NA,NA,NA,NA,12164.0304,24200,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.014846691,0.024597413,0.251072118,1.990859348,5.226532923,10.9760778
