Counter,Location,Experiment,Site,Block,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04
1,HI,FX,Waiakea,1,137,CAEQ,HN,6/22/18,1,11.4883554
2,HI,FX,Waiakea,2,149,CAEQ,HN,6/22/18,1,3.558120949
3,HI,FX,Waiakea,3,161,CAEQ,HN,6/22/18,1,0.317879554
4,HI,FX,Waiakea,4,173,CAEQ,HN,6/22/18,1,7.366289107
5,HI,FX,Waiakea,5,185,CAEQ,HN,6/22/18,1,13.23130518
6,HI,FX,Waiakea,6,197,CAEQ,HN,6/22/18,1,11.04757753
7,HI,FX,Waiakea,7,209,CAEQ,HN,6/22/18,1,15.04773953
8,HI,FX,Waiakea,8,221,CAEQ,HN,6/22/18,1,NA
9,HI,FX,Waiakea,9,233,CAEQ,HN,6/22/18,1,NA
10,HI,FX,Waiakea,1,131,CAEQ,LN,6/22/18,1,24.76959665
11,HI,FX,Waiakea,2,143,CAEQ,LN,6/22/18,1,8.183878827
12,HI,FX,Waiakea,3,155,CAEQ,LN,6/22/18,1,19.32225383
13,HI,FX,Waiakea,4,167,CAEQ,LN,6/22/18,1,9.741339148
14,HI,FX,Waiakea,5,179,CAEQ,LN,6/22/18,1,21.46668425
15,HI,FX,Waiakea,6,191,CAEQ,LN,6/22/18,0,10.03467826
16,HI,FX,Waiakea,7,203,CAEQ,LN,6/22/18,1,0.5508448
17,HI,FX,Waiakea,8,215,CAEQ,LN,6/22/18,1,NA
18,HI,FX,Waiakea,9,227,CAEQ,LN,6/22/18,1,NA
19,HI,FX,Waiakea,1,134,CAEQ,MN,6/22/18,1,2.778561588
20,HI,FX,Waiakea,2,146,CAEQ,MN,6/22/18,1,11.29190615
21,HI,FX,Waiakea,3,158,CAEQ,MN,6/22/18,1,13.82112556
22,HI,FX,Waiakea,4,170,CAEQ,MN,6/22/18,1,10.2047035
23,HI,FX,Waiakea,5,182,CAEQ,MN,6/22/18,1,2.312638646
24,HI,FX,Waiakea,6,194,CAEQ,MN,6/22/18,1,12.51142471
25,HI,FX,Waiakea,7,206,CAEQ,MN,6/22/18,1,3.812374342
26,HI,FX,Waiakea,8,218,CAEQ,MN,6/22/18,1,NA
27,HI,FX,Waiakea,9,230,CAEQ,MN,6/22/18,1,NA
28,HI,FX,Waiakea,1,140,CAEQ,PHN,6/22/18,1,0.866726523
29,HI,FX,Waiakea,2,152,CAEQ,PHN,6/22/18,1,4.987262951
30,HI,FX,Waiakea,3,164,CAEQ,PHN,6/22/18,1,9.19112677
31,HI,FX,Waiakea,4,176,CAEQ,PHN,6/22/18,1,8.731874483
32,HI,FX,Waiakea,5,188,CAEQ,PHN,6/22/18,1,0.945933657
33,HI,FX,Waiakea,6,200,CAEQ,PHN,6/22/18,1,6.35993058
34,HI,FX,Waiakea,7,212,CAEQ,PHN,6/22/18,1,1.222296089
35,HI,FX,Waiakea,8,224,CAEQ,PHN,6/22/18,1,NA
36,HI,FX,Waiakea,9,236,CAEQ,PHN,6/22/18,1,0.965188713
37,HI,FX,Waiakea,1,138,GLSE,HN,6/22/18,1,15.8678255
38,HI,FX,Waiakea,2,150,GLSE,HN,6/22/18,0,13.15938907
39,HI,FX,Waiakea,3,162,GLSE,HN,6/22/18,0,10.08401783
40,HI,FX,Waiakea,4,174,GLSE,HN,6/22/18,0,9.831378875
41,HI,FX,Waiakea,5,186,GLSE,HN,6/22/18,1,15.71103002
42,HI,FX,Waiakea,6,198,GLSE,HN,6/22/18,1,5.238946691
43,HI,FX,Waiakea,7,210,GLSE,HN,6/22/18,1,17.9581061
44,HI,FX,Waiakea,8,222,GLSE,HN,6/22/18,1,NA
45,HI,FX,Waiakea,9,234,GLSE,HN,6/22/18,1,NA
46,HI,FX,Waiakea,1,132,GLSE,LN,6/22/18,1,18.45267468
47,HI,FX,Waiakea,2,144,GLSE,LN,6/22/18,0,10.17156015
48,HI,FX,Waiakea,3,156,GLSE,LN,6/22/18,0,15.52663647
49,HI,FX,Waiakea,4,168,GLSE,LN,6/22/18,1,9.390234561
50,HI,FX,Waiakea,5,180,GLSE,LN,6/22/18,0,NA
51,HI,FX,Waiakea,6,192,GLSE,LN,6/22/18,1,1.268487016
52,HI,FX,Waiakea,7,204,GLSE,LN,6/22/18,0,3.476083498
53,HI,FX,Waiakea,8,216,GLSE,LN,6/22/18,0,NA
54,HI,FX,Waiakea,9,228,GLSE,LN,6/22/18,1,NA
55,HI,FX,Waiakea,1,135,GLSE,MN,6/22/18,1,0.88186216
56,HI,FX,Waiakea,2,147,GLSE,MN,6/22/18,0,10.90380027
57,HI,FX,Waiakea,3,159,GLSE,MN,6/22/18,1,1.4288452
58,HI,FX,Waiakea,4,171,GLSE,MN,6/22/18,1,14.34238587
59,HI,FX,Waiakea,5,183,GLSE,MN,6/22/18,0,1.204051099
60,HI,FX,Waiakea,6,195,GLSE,MN,6/22/18,1,15.49778921
61,HI,FX,Waiakea,7,207,GLSE,MN,6/22/18,1,0.915929348
62,HI,FX,Waiakea,8,219,GLSE,MN,6/22/18,1,NA
63,HI,FX,Waiakea,9,231,GLSE,MN,6/22/18,1,NA
64,HI,FX,Waiakea,1,141,GLSE,PHN,6/22/18,1,9.016926239
65,HI,FX,Waiakea,2,153,GLSE,PHN,6/22/18,1,9.594599109
