Counter,Location,Experiment,Site,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,foliar_N_mg_g_02,foliar_C_mg_g_02,foliar_15N_AP_02,foliar_d15N_02,foliar_d13C_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,foliar_N_mg_g_03,foliar_C_mg_g_03,foliar_15N_AP_03,foliar_d15N_03,foliar_d13C_03,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Notes_06,Date_07,Days_07,Diam_mm_07,Height_cm_07,DBH_07,Canopy_length_cm_07,Canopy_width_cm_07,Ground_cover_percent_07,Notes_07,Dead_07,Use_growth_07,foliar_N_mg_g_07,foliar_C_mg_g_07,foliar_15N_AP_07,foliar_d15N_07,foliar_d13C_07,seedpod_N_mg_g_07,seedpod_C_mg_g_07,seedpod_15N_AP_07,seedpod_d15N_07,seedpod_d13C_07,disk_d15N_07,Date_08,Days_08,Diam_mm_08,Height_cm_08,DBH_08,DBH_stem2_08,DBH_stem3_08,Canopy_length_cm_08,Canopy_width_cm_08,Ground_cover_percent_08,Notes_08,Dead_08,Use_growth_08,foliar_N_mg_g_08,foliar_C_mg_g_08,foliar_15N_AP_08,foliar_d15N_08,foliar_d13C_08,Aboveground_harvest_date_08,Harvest_notes_08,Main_stem_g_dry_08,Twigs_g_dry_08,Leaves_g_dry_08,Secondary_stems_g_dry_08,Thorns_mg_dry_mainstem_08,Thorns_mg_dry_secondarystem_08,Thorns_mg_dry_twigs_08,Aboveground_mass_g_dry_08,Root_g_dry_08,Nodule_drymass_mg_08,Num_soil_cores_for_nodule_sampling_08,Coring_radius_for_nodule_sampling_m_08,Use_allometry_08,Allometry_notes_08,Biomass_g_dry_08,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_07,AGB_est_kg_08,BGB_est_kg_01,BGB_est_kg_02,BGB_est_kg_03,BGB_est_kg_04,BGB_est_kg_05,BGB_est_kg_07,BGB_est_kg_08,Biomass_est_kg_01,Biomass_est_kg_02,Biomass_est_kg_03,Biomass_est_kg_04,Biomass_est_kg_05,Biomass_est_kg_07,Biomass_est_kg_08
1,NY,FX,Turtle,1,2,BENI,HN,41.41916,74.02812,6/5/15,0,5.05,51.8,NA,NA,NA,NA,,0,1,10/19/16,502,28.69,223.52,8.52,NA,NA,NA,,0,1,24.90615522,531.2005214,0.90705,1489.7,-29.4,6/1/17,727,30.81,230,NA,121,104,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,52.65,440,NA,277,217,95,,0,1,19.53943413,452.243089,1.08505,1983.7,-28.8,4/20/18,1050,58.48,426,NA,228,204,87.5,standing water,0,0,8/21/18,1173,26.2,486.39,0.91562,1513.5,-30.09,,9/13/18,1196,87.6,550,NA,430,450,12.5,,0,1,25.3,468.56,0.6754,849.6,-31.5,NA,NA,NA,NA,NA,579.22,10/4/19,1582,112.98,674,79.66,NA,NA,440,438,100,,0,1,21.99270584,495.6694768,0.49848,362.65,-28.94,10/11/19,"Stem, twigs, leaves, and secondary are the components of aboveground biomass. Thorns are included in stem mass, but are total thorn mass for each tissue for each plant (already upscaled from the subsample); nodule mass was just in cores sampled (not upscaled); the number of cores sampled differs by tree based on size (see column for number of cores)",9738.665365,3433.564545,558.6790909,2416.059281,0,0,0,16146.96828,5713.07,NA,5,2,1,,21860.03828,0.001274672,0.361863791,0.423121908,2.694637099,2.955230565,7.594700338,14.34233849,0.001639641,0.141718732,0.162423013,0.861927574,0.943459517,2.347845942,4.439535595,0.003679019,0.476136132,0.55372288,3.36950108,3.750908627,10.19919522,20.44642932
2,NY,FX,Turtle,2,1,ROPS,HN,41.41917,74.02817,6/5/15,0,4.21,26.4,NA,NA,NA,NA,,0,1,10/19/16,502,23.02,236.22,12.61,NA,NA,NA,,0,1,33.34522449,471.512175,1.12001,2080.9,-30.9,6/1/17,727,26.17,261,NA,117,108,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,39.3,315,NA,220,215,95,"deer browse damage (new); 0.5 for Use_growth means usable, but some question due to notes (e.g., deer damage), growth decline, or both",0.5,1,37.86881769,452.5060159,0.63363,734.4,-27.9,4/20/18,1050,38.45,312,NA,165,150,87.5,,0,0,8/21/18,1173,37.1,477.87,0.55834,527.2,-29.4,,9/13/18,1196,67.01,460,NA,330,345,12.5,deer browse damage (new),0.5,1,39.4,469.14,0.52518,436,-29.59,NA,NA,NA,NA,NA,NA,10/4/19,1582,82.34,450,40.57,26.18,NA,327,343,100,,0,1,24.3708047,471.4126819,0.45357,239.33,-28.47,10/11/19,,2939.512344,1118.568575,512.8798225,1061.056852,380,1867.796473,2209.736417,6012.017594,2761.26,59.76,4,1.5,1,,8773.277594,0.000426007,0.198418236,0.293529188,0.882344238,0.832133963,4.32388749,6.638601505,0.000978991,0.094088922,0.132805905,0.396064895,0.373462584,1.661661737,2.890544183,0.000881475,0.322709818,0.470128955,1.353542413,1.279452664,6.232444611,9.409434794
3,NY,FX,Turtle,3,4,BENI,PHN,41.41903,74.02818,6/5/15,0,2.92,44.9,NA,NA,NA,NA,,0,0,10/19/16,502,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,6/1/17,727,NA,NA,NA,NA,NA,100,dead,1,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,4/20/18,1050,NA,NA,NA,NA,NA,NA,dead,1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.000349322,NA,NA,NA,NA,NA,NA,0.000644326,NA,NA,NA,NA,NA,NA,0.001317272,NA,NA,NA,NA,NA,NA
4,NY,FX,Turtle,4,3,ROPS,PHN,41.41898,74.02824,6/5/15,0,5.55,34.3,NA,NA,NA,NA,,0,1,10/19/16,502,19.22,210.82,6.34,NA,NA,NA,,0,1,37.8041083,519.4376686,1.34122,2697.7,-30.5,6/1/17,727,21.39,208,NA,125,88,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,26.6,232,NA,135,98,95,deer browse damage (new),0.5,0,34.87329668,447.5290161,0.831,1279.3,-29.5,4/20/18,1050,26.99,252,NA,74,70,87.5,deer browse damage (new),0.5,0,8/21/18,1173,28.6,391.69,0.58857,610.4,-30.37,,9/13/18,1196,38.31,240,NA,75,110,87.5,"dead with a live branch; live branch dimensions are 180 cm height, 150 cm length, 135 cm width  previously deer browse damage",0.5,0,31.9,468.26,0.55725,524.2,-30.11,NA,NA,NA,NA,NA,NA,10/4/19,1582,28.61,138,11.48,NA,NA,120,58,100,"Clonal! Second ramet diam_mm = 16.89, DBH_mm = 9.17, Height_cm = 220, Length_cm = 75, Width_cm = 71; For first ramet, green height = 111 cm, length = 94 cm",0.5,0,31.60469253,483.091705,0.40168,96.96,-30.63,10/11/19,,202.1265789,264.0374945,83.13678492,88.10136986,NA,641.0958904,1542.017738,637.4022282,355.53,52.311,3,1,0.3,"0.3 means could use if needed (has all tissues), but somewhat suspect due to previous damage; we're using 0.3s and 1s",992.9322282,0.009714413,0.452838804,0.541666369,0.881591872,0.974200692,1.743881969,0.631291963,0.010128991,0.148876259,0.187649671,0.300740684,0.310362903,0.662211543,0.352083087,0.01950142,0.719849212,0.851735324,1.345832454,1.478212119,2.554143807,0.983475893
5,NY,FX,Turtle,5,6,BENI,LN,41.4189,74.02829,6/5/15,0,4.3,60.4,NA,NA,NA,NA,,0,1,10/19/16,502,12.9,80.01,NA,NA,NA,NA,,0,1,16.5,511.8,1.15743,2185.1,-32.6,6/1/17,727,15.07,82,NA,53,44,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,21.2,110,NA,65,65,100,,0,1,21.74663811,444.2644007,0.82682,1267.7,-30.6,4/20/18,1050,20.91,108,NA,64,55,87.5,,0,0,8/21/18,1173,21.9,476.99,0.69443,902,-31.22,,9/13/18,1196,32.14,181,NA,110,105,62.5,,0,1,22.5,472.78,0.6967,908.3,-31.05,NA,NA,NA,NA,NA,NA,10/4/19,1582,41.34,204,NA,NA,NA,87,101,100,,1,1,21.64632115,483.2340686,0.5307,451.19,-32.04,10/11/19,No secondary stems; all main or twigs and leaves,217.0289362,210.7760279,94.41825784,0,0,0,0,522.2232219,155.9,NA,3,1,0.3,,678.1232219,0.001606333,0.018918144,0.025815919,0.078156514,0.073928257,0.363454311,0.654338129,0.001666343,0.010757518,0.013693808,0.033205588,0.031732188,0.120332329,0.200241269,0.004361126,0.034908918,0.045766924,0.120187746,0.114439343,0.484218999,0.849399217
6,NY,FX,Turtle,6,5,ROPS,LN,41.41885,74.02828,6/5/15,0,7.37,32.7,NA,NA,NA,NA,,0,1,10/19/16,502,15.05,129.54,NA,NA,NA,NA,high herbivore damage,0.5,0,30.91,508.19,0.40574,108.1,-30.7,6/1/17,727,15.83,133,NA,73,66,100,"previously listed as high herbivore damage, no note this time",0,0,NA,NA,NA,NA,NA,10/3/17,851,22.55,154,NA,80,85,100,"previously listed as high herbivore damage, no note this time or last time",0,0,19.38810292,451.3294909,0.41009,120,-30.1,4/20/18,1050,22.28,58,NA,13,3,87.5,"Broken stem, probably dead; previously listed as high herbivore damage, no note this time or last time",1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,"dead; previously listed as high herbivore damage, no note last two times",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.000121772,0.007580358,0.009145387,0.03218817,0.007371971,NA,NA,0.004047161,0.033784789,0.039259362,0.11237251,0.108420576,NA,NA,0.000186242,0.011662704,0.014074368,0.049625999,0.011341636,NA,NA
7,NY,FX,Turtle,7,8,BENI,PHN,41.41884,74.02844,6/5/15,0,6.34,58.8,NA,NA,NA,NA,,0,1,10/19/16,502,26.55,149.86,NA,NA,NA,NA,,0,1,25.96,529.22,2.37061,5604.6,-32,6/1/17,727,NA,NA,NA,NA,NA,100,pair is dead,0,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,pair is dead,0,1,17.08870449,472.2928444,1.72071,3762.2,-29.7,4/20/18,1050,38.5,260,NA,124,132,87.5,did not fertilize (dead ROPS),0,0,8/21/18,1173,22.6,452.29,0.58447,599.1,-30.89,,9/13/18,1196,62.72,360,NA,190,190,62.5,two stems: 50.22mm and 12.5; did not fertilize (dead ROPS),0,0,28.7,471.6,0.51714,413.9,-30.83,NA,NA,NA,NA,NA,NA,10/4/19,1582,59.58340876,359,32.77,NA,NA,195,184,100,,0,0,19.69050825,494.5000717,0.45303,237.83,-32.53,10/11/19,,1290.213706,601.9269374,530.8884499,59.82594752,0,0,0,2482.855041,977.18,NA,4,1.5,0.3,"Use if not treatment specific, but not if treatment-specific",3460.035041,0.002475194,0.159700715,NA,NA,0.724770834,2.489976545,2.305996377,0.002670822,0.070685432,NA,NA,0.261333641,0.805859237,0.750079281,0.006383479,0.231711819,NA,NA,0.947964539,3.256794132,3.003020681
8,NY,FX,Turtle,8,7,ROPS,PHN,41.41887,74.02841,6/5/15,0,9.9,46.9,NA,NA,NA,NA,,0,0,10/19/16,502,14.11,137.16,NA,NA,NA,NA,no leaves all year,1,0,NA,NA,NA,NA,NA,6/1/17,727,NA,NA,NA,NA,NA,100,dead,1,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,4/20/18,1050,NA,NA,NA,NA,NA,NA,dead,1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.036135344,0.177544636,NA,NA,NA,NA,NA,0.035433067,0.076276839,NA,NA,NA,NA,NA,0.066977184,0.298748584,NA,NA,NA,NA,NA
9,NY,FX,Turtle,9,10,BENI,MN,41.419,74.02836,6/5/15,0,6.78,64.3,NA,NA,NA,NA,,0,1,10/19/16,502,37.13,266.7,11.1,NA,NA,NA,,0,1,19.57,483.2,1.05683,1905.3,-30.2,6/1/17,727,33,280,NA,197,145,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,dead,1,0,11.22347986,465.4720557,0.76156,1087.3,-30.6,4/20/18,1050,NA,NA,NA,NA,NA,NA,dead,1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.002341297,0.503054892,0.459734321,NA,NA,NA,NA,0.003331863,0.258739474,0.238098012,NA,NA,NA,NA,0.005438831,0.626702953,0.566334917,NA,NA,NA,NA
10,NY,FX,Turtle,10,9,ROPS,MN,41.41906,74.02836,6/5/15,0,8.5,44.8,NA,NA,NA,NA,,0,1,10/19/16,502,46.49,276.86,21,NA,NA,NA,,0,1,41.76,511.7,0.69428,901.6,-30.8,6/1/17,727,45,291,NA,240,179,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,60.05,330,NA,258,227,100,,0,1,29.155198,469.6974589,0.61029,670.2,-29.8,4/20/18,1050,65.81,320,NA,188,182,87.5,,0,0,8/21/18,1173,27.3,490.75,0.48725,331.8,-29.28,,9/13/18,1196,74.43,460,NA,270,250,62.5,,0,1,22.4,483.9,0.48404,323,-28.81,21.7,470.69,0.49036,340.3,-27.85,NA,10/4/19,1582,71.92204808,414,40.9,NA,NA,187,206,100,"no leaves, so no green height etc.",0.5,0,NA,NA,NA,NA,NA,10/11/19,No leaves,1878.389184,918.2602802,0,1304.721581,NA,249.971581,5582.93743,4101.371045,872.61,10.447,4,1.5,0.1,"0.1 means doesn't have leaves, but otherwise fine; not using these for total aboveground or total biomass or belowground biomass",4973.981045,0.003063412,1.171478824,1.151186143,2.563718296,3.049872792,6.10431338,5.007140186,0.001029802,0.346346474,0.309792149,0.831969673,1.138447416,1.735202841,1.543048961,0.003034206,1.403360264,1.378280387,3.149077527,3.767095275,7.709029718,6.283486244
