Counter,Location,Experiment,Site,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04,Date_07,Use_growth_07,Soil_Pase_umol_g_hr_07
1,NY,FX,Turtle,1,BENI,HN,10/1/17,1,20.08676558,10/1/18,1,10.70238268
2,NY,FX,Turtle,2,ROPS,HN,10/1/17,1,13.52877018,10/1/18,1,15.22537532
3,NY,FX,Turtle,3,BENI,PHN,10/1/17,0,NA,10/1/18,0,NA
4,NY,FX,Turtle,4,ROPS,PHN,10/1/17,0,25.2716207,10/1/18,0,NA
5,NY,FX,Turtle,5,BENI,LN,10/1/17,1,14.89689044,10/1/18,1,NA
6,NY,FX,Turtle,6,ROPS,LN,10/1/17,0,5.575964715,10/1/18,0,NA
7,NY,FX,Turtle,7,BENI,PHN,10/1/17,1,NA,10/1/18,0,NA
8,NY,FX,Turtle,8,ROPS,PHN,10/1/17,0,NA,10/1/18,0,NA
9,NY,FX,Turtle,9,BENI,MN,10/1/17,0,NA,10/1/18,0,NA
10,NY,FX,Turtle,10,ROPS,MN,10/1/17,1,31.99825622,10/1/18,1,12.76846019
11,NY,FX,Turtle,11,BENI,MN,10/1/17,0,NA,10/1/18,0,NA
12,NY,FX,Turtle,12,ROPS,MN,10/1/17,1,25.13373926,10/1/18,1,10.8483453
13,NY,FX,Turtle,13,BENI,LN,10/1/17,1,7.017791811,10/1/18,1,19.05885519
14,NY,FX,Turtle,14,ROPS,LN,10/1/17,1,15.44950486,10/1/18,1,13.70586625
15,NY,FX,Turtle,15,BENI,HN,10/1/17,1,23.68410209,10/1/18,1,19.49144155
16,NY,FX,Turtle,16,ROPS,HN,10/1/17,1,34.01357843,10/1/18,1,9.069168944
17,NY,FX,Turtle,17,BENI,HN,10/1/17,1,19.30424529,10/1/18,1,10.76031998
18,NY,FX,Turtle,18,ROPS,HN,10/1/17,1,17.28021395,10/1/18,1,15.40043934
19,NY,FX,Turtle,19,BENI,LN,10/1/17,1,30.85655512,10/1/18,1,10.82636237
20,NY,FX,Turtle,20,ROPS,LN,10/1/17,1,22.27767322,10/1/18,1,16.59536635
21,NY,FX,Turtle,21,BENI,LN,10/1/17,0,NA,10/1/18,0,NA
22,NY,FX,Turtle,22,ROPS,LN,10/1/17,1,19.77217084,10/1/18,1,13.44577154
23,NY,FX,Turtle,23,BENI,PHN,10/1/17,1,32.0080148,10/1/18,1,7.339007582
24,NY,FX,Turtle,24,ROPS,PHN,10/1/17,1,18.51549055,10/1/18,0,12.92569613
25,NY,FX,Turtle,25,BENI,MN,10/1/17,1,10.08614271,10/1/18,1,7.285137853
26,NY,FX,Turtle,26,ROPS,MN,10/1/17,1,28.49302274,10/1/18,0,8.055441095
27,NY,FX,Turtle,27,BENI,HN,10/1/17,1,28.83929518,10/1/18,1,6.017161735
28,NY,FX,Turtle,28,ROPS,HN,10/1/17,1,13.14378773,10/1/18,1,15.77732667
29,NY,FX,Turtle,29,BENI,MN,10/1/17,1,30.51590527,10/1/18,1,17.83133335
30,NY,FX,Turtle,30,ROPS,MN,10/1/17,1,35.48768361,10/1/18,1,12.20689808
31,NY,FX,Turtle,31,BENI,PHN,10/1/17,1,6.400530867,10/1/18,1,9.832810984
32,NY,FX,Turtle,32,ROPS,PHN,10/1/17,1,5.615458542,10/1/18,1,15.83056016
33,NY,FX,Turtle,33,BENI,LN,10/1/17,1,9.893697568,10/1/18,1,6.59561541
34,NY,FX,Turtle,34,ROPS,LN,10/1/17,1,24.20875773,10/1/18,1,7.244081209
35,NY,FX,Turtle,35,BENI,PHN,10/1/17,0,NA,10/1/18,0,NA
36,NY,FX,Turtle,36,ROPS,PHN,10/1/17,0,NA,10/1/18,0,NA
37,NY,FX,Turtle,37,BENI,LN,10/1/17,1,43.20678766,10/1/18,1,11.68242471
38,NY,FX,Turtle,38,ROPS,LN,10/1/17,1,26.23309442,10/1/18,1,7.407997465
39,NY,FX,Turtle,39,BENI,HN,10/1/17,0,NA,10/1/18,0,NA
40,NY,FX,Turtle,40,ROPS,HN,10/1/17,0,NA,10/1/18,0,NA
41,NY,FX,Turtle,41,BENI,MN,10/1/17,0,NA,10/1/18,0,NA
42,NY,FX,Turtle,42,ROPS,MN,10/1/17,0,NA,10/1/18,0,NA
43,NY,FX,Turtle,43,BENI,LN,10/1/17,1,9.722677295,10/1/18,1,NA
44,NY,FX,Turtle,44,ROPS,LN,10/1/17,1,16.13721757,10/1/18,0,NA
45,NY,FX,Turtle,45,BENI,LN,10/1/17,1,34.03189628,10/1/18,1,20.40462189
46,NY,FX,Turtle,46,ROPS,LN,10/1/17,1,15.13252314,10/1/18,0,9.725805403
47,NY,FX,Ski,47,BENI,MN,10/1/17,1,25.80563351,10/1/18,1,25.42280496
48,NY,FX,Ski,48,ROPS,MN,10/1/17,1,29.5498743,10/1/18,1,20.57977272
49,NY,FX,Ski,49,BENI,HN,10/1/17,1,16.48488456,10/1/18,0,11.69500038
50,NY,FX,Ski,50,ROPS,HN,10/1/17,1,6.736121255,10/1/18,1,8.891370177
51,NY,FX,Ski,51,BENI,PHN,10/1/17,1,28.08006682,10/1/18,1,7.860574183
52,NY,FX,Ski,52,ROPS,PHN,10/1/17,1,26.93984771,10/1/18,1,7.007108365
53,NY,FX,Ski,53,BENI,MN,10/1/17,1,25.76362333,10/1/18,1,6.461628495
54,NY,FX,Ski,54,ROPS,MN,10/1/17,1,6.939261293,10/1/18,1,11.34122183
55,NY,FX,Ski,55,BENI,PHN,10/1/17,1,26.49571265,10/1/18,1,15.87769687
56,NY,FX,Ski,56,ROPS,PHN,10/1/17,1,26.12049718,10/1/18,1,18.22257433
57,NY,FX,Ski,57,BENI,PHN,10/1/17,0,22.35690083,10/1/18,0,4.190426398
58,NY,FX,Ski,58,ROPS,PHN,10/1/17,1,9.429468504,10/1/18,1,4.085969258
59,NY,FX,Ski,59,BENI,HN,10/1/17,0,NA,10/1/18,0,12.36644517
60,NY,FX,Ski,60,ROPS,HN,10/1/17,0,NA,10/1/18,0,NA
61,NY,FX,Ski,61,BENI,LN,10/1/17,0,NA,10/1/18,0,NA
62,NY,FX,Ski,62,ROPS,LN,10/1/17,0,NA,10/1/18,0,NA
63,NY,FX,Ski,63,BENI,MN,10/1/17,0,26.66631836,10/1/18,0,9.87514069
64,NY,FX,Ski,64,ROPS,MN,10/1/17,1,24.28979131,10/1/18,0,8.734247757
65,NY,FX,Ski,65,BENI,HN,10/1/17,1,19.73914785,10/1/18,1,13.2850866
66,NY,FX,Ski,66,ROPS,HN,10/1/17,0,10.79196371,10/1/18,0,7.750726047
