Counter,Location,PID,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_05,Use_growth_05,foliar_N_mg_g_05,Date_06,Use_growth_06,foliar_N_mg_g_06,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06,Biomass_est_kg_04,Biomass_est_kg_05,Biomass_est_kg_06,Ndfa_u_04,Ndfa_u_05,Ndfa_u_06,Biomass_g_N_04,Biomass_g_N_05,Biomass_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_05,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_05,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_05,Nfix_g_N_yr_u_05_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_05,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_05,Nfix_g_N_kg_biomass_yr_u_05_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_05,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_05,Nfix_g_N_g_biomass_N_yr_u_05_06
1,OR,67,ALRU,MN,10/4/18,1,29.03829657,9/25/19,1,28.60234032,9/22/20,1,26.64682326,4.127362602,10.1390653,30.24019141,3.922381858,8.455611836,23.32799507,80.23505915,77.25703312,74.08770411,42.42601224,77.0432985,272.9329237,34.04053601,59.52136663,202.2097369,11.34684534,14.88034166,40.44194739,26.74428831,145.1301259,2.892845661,1.759818443,1.73362294,3.162903978,6.221285862,0.267450197,0.193142583,0.148175408,0.34713322,0.531742832
2,OR,68,PSME,MN,10/4/18,1,15.81323925,9/25/19,1,15.95231139,9/22/20,1,16.33357046,3.557120244,6.64045473,17.52036535,4.154865322,7.534725491,19.5485191,NA,NA,NA,44.82098654,84.39042694,228.6375844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,OR,69,ALRU,LN,10/4/18,1,31.41225133,9/25/19,1,18.51315584,9/22/20,1,21.46686464,2.102565207,5.896076235,16.2080021,2.135898929,5.52233698,14.96742195,81.87568757,86.12426321,96.15183246,21.57702584,39.72490496,155.5036917,17.66633826,34.21278171,149.5196491,5.88877942,8.553195428,29.90392982,15.62972719,111.323425,2.757049662,1.548836201,1.997934576,2.830274075,7.437715421,0.272918959,0.215310658,0.192303665,0.393449077,0.715889275
4,OR,70,PSME,LN,10/4/18,1,17.04874391,9/25/19,1,13.52409804,9/22/20,1,14.81651881,3.950955716,8.515156807,17.64169838,4.435842096,9.390804396,19.30619423,NA,NA,NA,51.8666862,92.97893692,209.8656838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,OR,71,ALRU,PHN,10/4/18,1,23.9262296,9/25/19,1,27.44760876,9/22/20,1,22.21095277,2.991821035,5.709386451,10.23416239,2.554289235,4.217183565,7.460497715,49.25726134,75.49184103,69.92026682,30.14265184,48.07036013,81.59281489,14.84744479,36.28919985,57.04991388,4.949148264,9.072299963,11.40998278,13.53395704,23.43898981,1.937583339,2.151269876,1.52938627,3.209240678,3.141746128,0.164190871,0.188729603,0.139840534,0.28154474,0.287267817
6,OR,72,PSME,PHN,10/4/18,1,22.80822743,9/25/19,1,17.62368891,9/22/20,1,18.44599962,5.52632189,8.430217439,21.08035434,6.467142701,9.445937556,23.74205106,NA,NA,NA,97.18361381,116.4864992,311.9193711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,OR,73,ALRU,HN,10/4/18,1,28.91458376,9/25/19,1,27.56388355,9/22/20,1,22.9055116,1.512639442,4.91918467,13.92193889,1.486599665,3.932840688,11.38420439,68.08720819,72.78920332,47.23739792,20.50608783,39.39588225,137.2381106,13.96202272,28.67594883,64.8277124,4.654007572,7.168987208,12.96554248,13.74973087,46.21812273,3.130639459,1.822852176,1.138906333,3.496132174,4.059846534,0.226957361,0.181973008,0.094474796,0.349014417,0.336773237
8,OR,74,PSME,HN,10/4/18,1,20.749871,9/25/19,1,18.64799499,9/22/20,1,18.51334438,4.192088267,8.218785897,21.02223335,4.729620158,9.134306544,23.78032154,NA,NA,NA,64.59106815,117.9309349,309.3669749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,OR,75,ALRU,MN,10/4/18,1,32.48123252,9/25/19,1,29.05120736,9/22/20,1,23.56205876,3.570718712,11.63965348,40.75636121,3.544050161,9.693303166,33.33220515,60.98846873,72.22825208,72.86496938,38.72946279,83.72646041,399.1915711,23.6205063,60.47415889,290.8708161,7.8735021,15.11853972,58.17416322,32.50054488,229.8635564,2.221611361,1.559689144,1.745283967,3.352886454,6.896140094,0.203294896,0.18057063,0.145729939,0.388175312,0.57582267
10,OR,76,PSME,MN,10/4/18,1,18.36107159,9/25/19,1,18.41562974,9/22/20,1,14.58873617,5.938744354,9.927949776,28.6173311,6.878575942,11.20763949,32.71714834,NA,NA,NA,85.34643384,142.7622457,345.0128409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
