Counter,Location,Experiment,Site,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04
1,OR,FX,3,67,ALRU,MN,10/1/18,1,9.959256743
2,OR,FX,3,68,PSME,MN,10/1/18,1,10.34027722
3,OR,FX,4,69,ALRU,LN,10/1/18,1,37.70292673
4,OR,FX,4,70,PSME,LN,10/1/18,1,15.45591809
5,OR,FX,5,71,ALRU,PHN,10/1/18,1,10.98351645
6,OR,FX,5,72,PSME,PHN,10/1/18,1,11.48866896
7,OR,FX,7,73,ALRU,HN,10/1/18,1,16.6458216
8,OR,FX,7,74,PSME,HN,10/1/18,1,12.47159709
9,OR,FX,8,75,ALRU,MN,10/1/18,1,5.124469697
10,OR,FX,8,76,PSME,MN,10/1/18,1,2.689276365
11,OR,FX,9,77,ALRU,LN,10/1/18,1,14.03119913
12,OR,FX,9,78,PSME,LN,10/1/18,1,16.80075543
13,OR,FX,12,79,ALRU,LN,10/1/18,1,13.42627126
14,OR,FX,12,80,PSME,LN,10/1/18,1,20.9916828
15,OR,FX,13,81,ALRU,MN,10/1/18,1,9.879335223
16,OR,FX,13,82,PSME,MN,10/1/18,1,11.54895713
17,OR,FX,15,83,ALRU,PHN,10/1/18,0,10.85158434
18,OR,FX,15,84,PSME,PHN,10/1/18,1,9.751230679
19,OR,FX,16,85,ALRU,LN,10/1/18,1,15.0886187
20,OR,FX,16,86,PSME,LN,10/1/18,1,13.34248329
21,OR,FX,17,87,ALRU,PHN,10/1/18,1,7.72349501
22,OR,FX,17,88,PSME,PHN,10/1/18,1,4.483531085
23,OR,FX,18,89,ALRU,MN,10/1/18,1,8.26899848
24,OR,FX,18,90,PSME,MN,10/1/18,1,6.134804112
25,OR,FX,20,91,ALRU,HN,10/1/18,1,4.002034502
26,OR,FX,20,92,PSME,HN,10/1/18,1,1.655178846
27,OR,FX,21,93,ALRU,HN,10/1/18,1,8.173900274
28,OR,FX,21,94,PSME,HN,10/1/18,1,5.67454001
29,OR,FX,22,95,ALRU,PHN,10/1/18,1,7.584469152
30,OR,FX,22,96,PSME,PHN,10/1/18,1,11.46850821
31,OR,FX,23,97,ALRU,HN,10/1/18,1,4.574848734
32,OR,FX,23,98,PSME,HN,10/1/18,1,4.791578543
33,OR,FX,24,99,ALRU,MN,10/1/18,1,8.996350078
34,OR,FX,24,100,PSME,MN,10/1/18,1,7.126193488
35,OR,FX,26,101,ALRU,HN,10/1/18,1,7.80214827
36,OR,FX,26,102,PSME,HN,10/1/18,1,5.737036611
37,OR,FX,27,103,ALRU,HN,10/1/18,1,7.729129362
38,OR,FX,27,104,PSME,HN,10/1/18,1,4.54479996
39,OR,FX,28,105,ALRU,LN,10/1/18,1,16.77694057
40,OR,FX,28,106,PSME,LN,10/1/18,1,34.86887325
41,OR,FX,29,107,ALRU,HN,10/1/18,1,7.600257732
42,OR,FX,29,108,PSME,HN,10/1/18,1,7.050714363
43,OR,FX,30,109,ALRU,MN,10/1/18,1,5.542155019
44,OR,FX,30,110,PSME,MN,10/1/18,1,9.593945201
45,OR,FX,31,111,ALRU,HN,10/1/18,1,12.57962205
46,OR,FX,31,112,PSME,HN,10/1/18,1,11.10925309
47,OR,FX,32,113,ALRU,PHN,10/1/18,1,10.68138989
48,OR,FX,32,114,PSME,PHN,10/1/18,1,10.74314442
49,OR,FX,33,115,ALRU,PHN,10/1/18,1,17.51798993
50,OR,FX,33,116,PSME,PHN,10/1/18,1,16.67257871
51,OR,FX,34,117,ALRU,PHN,10/1/18,1,20.12143047
52,OR,FX,34,118,PSME,PHN,10/1/18,1,21.10568819
53,OR,FX,36,119,ALRU,LN,10/1/18,1,5.918324199
54,OR,FX,36,120,PSME,LN,10/1/18,1,16.97424747
55,OR,FX,37,121,ALRU,MN,10/1/18,1,5.281227688
56,OR,FX,37,122,PSME,MN,10/1/18,1,8.090624305
57,OR,FX,38,123,ALRU,PHN,10/1/18,1,10.56908073
58,OR,FX,38,124,PSME,PHN,10/1/18,1,5.685766345
59,OR,FX,43,125,ALRU,LN,10/1/18,1,17.35844047
60,OR,FX,43,126,PSME,LN,10/1/18,1,19.89962321
61,OR,FX,46,127,ALRU,MN,10/1/18,1,3.290956784
62,OR,FX,46,128,PSME,MN,10/1/18,1,12.56109275
63,OR,FX,47,129,ALRU,LN,10/1/18,1,16.19183514
64,OR,FX,47,130,PSME,LN,10/1/18,1,11.32595513
